Year,index,J-D,Total Deaths,Total Affected,Total Damage ('000 US$),Nombre
1950,70,-0.17,6860.0,10966367.0,1621450.0,26
1951,71,-0.07,18242.0,910580.0,3123050.0,31
1952,72,0.01,6946.0,1142727.0,1671250.0,29
1953,73,0.08,12531.0,3586062.0,2914930.0,36
1954,74,-0.13,41892.0,645446.0,2684300.0,33
1955,75,-0.14,5586.0,613729.0,2742600.0,32
1956,76,-0.19,7797.0,1303589.0,2350750.0,36
1957,77,0.05,10595.0,688770.0,1789800.0,28
1958,78,0.06,4151.0,173426.0,1992000.0,24
1959,79,0.03,2013238.0,1738863.0,2477350.0,33
1960,80,-0.02,39829.0,3034827.0,3786091.0,39
1961,81,0.06,17441.0,1505555.0,2141650.0,29
1962,82,0.03,17254.0,365454.0,2924450.0,29
1963,83,0.05,36521.0,6419903.0,3811140.0,41
1964,84,-0.2,12545.0,8039577.0,4803550.0,60
1965,85,-0.11,1564878.0,123181291.0,4786918.0,62
1966,86,-0.06,17273.0,12637642.0,5261031.0,81
1967,87,-0.02,7238.0,6663129.0,3959576.0,74
1968,88,-0.08,22372.0,26852918.0,3217488.0,78
1969,89,0.05,8539.0,12322175.0,4474249.0,64
1970,90,0.03,386390.0,47380529.0,5202994.0,76
1971,91,-0.08,16074.0,11929552.0,3899439.0,60
1972,92,0.01,20293.0,219375676.0,6981963.0,62
1973,93,0.16,110789.0,12112984.0,5010343.0,63
1974,94,-0.07,86235.0,45262113.0,6382144.0,65
1975,95,-0.01,27113.0,51387224.0,5954720.0,59
1976,96,-0.1,280519.0,24692796.0,17917839.0,85
1977,97,0.18,21807.0,28033875.0,15414441.0,116
1978,98,0.07,35516.0,53049947.0,10916857.0,109
1979,99,0.16,7369.0,61909575.0,9762635.0,113
1980,100,0.26,21913.0,75671364.0,37951157.0,117
1981,101,0.32,117663.0,32363251.0,19719388.0,129
1982,102,0.14,11934.0,151303533.0,17125643.0,148
1983,103,0.31,461688.0,106251674.0,25237942.0,200
1984,104,0.16,9545.0,64728532.0,15669092.0,141
1985,105,0.12,55172.0,28383584.0,23824517.0,156
1986,106,0.18,7873.0,32073952.0,19816428.0,145
1987,107,0.32,19727.0,374165956.0,22021115.0,182
1988,108,0.39,43363.0,207072174.0,36282057.0,195
1989,109,0.27,11527.0,173253162.0,35334290.0,170
1990,110,0.45,52726.0,85595021.0,57809522.0,274
1991,111,0.4,160285.0,284227401.0,47913561.0,226
1992,112,0.22,13442.0,68414549.0,62241213.0,203
1993,113,0.23,22310.0,171911524.0,60495182.0,258
1994,114,0.31,14030.0,267819327.0,80016874.0,245
1995,115,0.44,23810.0,222670804.0,163071839.0,246
1996,116,0.33,15593.0,219726169.0,51757893.0,225
1997,117,0.46,20535.0,70716955.0,49760796.0,260
1998,118,0.61,51001.0,343279928.0,96460040.0,288
1999,119,0.38,72168.0,281475229.0,124675104.0,336
2000,120,0.39,11885.0,173857905.0,63720536.0,410
2001,121,0.53,33000.0,109354632.0,43221789.0,375
2002,122,0.62,14722.0,658961243.0,69824452.0,421
2003,123,0.62,111656.0,255586552.0,86248900.0,360
2004,124,0.53,243252.0,162238760.0,150930998.0,350
2005,125,0.67,91550.0,161097354.0,233409401.0,430
2006,126,0.63,25351.0,126609023.0,53973499.0,401
2007,127,0.66,18300.0,213071944.0,93132897.0,412
2008,128,0.54,236892.0,221922663.0,206952147.0,353
2009,129,0.65,12642.0,201413393.0,62657943.0,344
2010,130,0.72,319467.0,257625225.0,151265246.0,393
2011,131,0.61,32364.0,212122127.0,379578018.0,333
2012,132,0.65,11067.0,123928044.0,170307232.0,347
2013,133,0.67,22919.0,99272302.0,131430539.0,330
2014,134,0.74,9403.0,143041941.0,109233705.0,321
2015,135,0.9,24594.0,432360427.0,102876417.0,387
2016,136,1.01,9661.0,205807332.0,197326021.0,324
2017,137,0.92,11371.0,104269309.0,339253518.92,344
2018,138,0.85,13431.0,84532592.0,146346622.0,318
2019,139,0.97,13308.0,108423483.0,122575306.0,398
2020,140,1.01,17009.0,103875764.0,190163747.0,392
2021,141,0.84,13071.0,118074786.0,276734188.0,433
2022,142,0.89,77880.0,186711122.0,229969129.0,417
